Timestamp,Username,Your Twitter,Your Sei wallet address,Your Discord Username (optional)
2023/04/14 8:36:36 AM AST,nan,https://twitter.com/Kirill19398218/status/1646854363816640512?s=20,sei1scaj57x5hfqs03fxlgsp7s45gh6nt9y8vyxrct,Kirill111#2726
2023/04/14 8:36:41 AM AST,nan,https://twitter.com/Tima0776/status/1646854659925999616?s=20,sei1pyy8396vfusnnea934m4n5ts2gvahxhlqkaj4h,Rusall#6648
2023/04/14 8:37:59 AM AST,nan,https://twitter.com/fuckingelon/status/1646855243916009473?s=20,sei18ta7d46dy0aegxf0hqr4dtqvn0nma3778f0u4q,fuckingelon#4271
2023/04/14 8:38:41 AM AST,nan,https://twitter.com/BangJimi5/,sei1uuc00hf7lq3vrunk6dgx6t3y56jus8rydjc434,kangmus#8229
2023/04/14 8:39:04 AM AST,nan,https://twitter.com/Elfatan3232/status/1646855518642921472?s=20,sei1knxmnw8dhu0nngjdrvvr2zmys8gph52j2ht760,nan
2023/04/14 8:39:10 AM AST,nan,sazan85,sei1gmqyn2ypexntjrger9tnkyyn437fzkjuh5yym7,nan
2023/04/14 8:39:37 AM AST,nan,@sparrowswapxyz  /// Excellent and successful,sei1hudxmu9n4c7whnchw0kt4ayny2wxk8g67xdl6w,alicaya33#4930
2023/04/14 8:39:51 AM AST,nan,@TujuTuri,sei1pnhe2nwauwu5hre7wk8s7u8c5k5ykw4t0dl46a,nan
2023/04/14 8:40:21 AM AST,nan,@fitriyu14,sei10yum59zmdkhxrc78n6pd9hjjwevuexdr6482vc,fitri#8387
2023/04/14 8:41:41 AM AST,nan,https://twitter.com/Awangganteng97/status/1646856167623385088?t=aye8__5rU-Rxm8_0jtJgEA&s=19,sei1p2kjg5nyjy8f4guv06nmcexpd8zkv2e08qdq3j,Awangganteng#1612
2023/04/14 8:41:52 AM AST,nan,https://twitter.com/GIANTAKESH001/status/1646855603254337536?t=od6415i1X2g8GGqLoV-vow&s=19,sei14nvly98e3q65mh7h7zyntc4k65gslupxunzd7z,GIANT_AKESH#5614
2023/04/14 8:42:32 AM AST,nan,https://twitter.com/feysOnZ/status/1646856148098912260?t=zyj5vIgJZDV7kjgVocUURg&s=19,sei16l37v9rwq5cpy85zp4k2qg7n9z4hx5sp2hy3ad,feysOnZ | Sui Station#7101
2023/04/14 8:43:19 AM AST,nan,https://twitter.com/mysweetsugarr/status/1646856146005680133?s=20,sei1qac98aqdwwrwwgkx4m8uzrwrawe2fzpj5tzeky,Turapi#4818
2023/04/14 8:43:41 AM AST,nan,https://twitter.com/Zaviaz1110,sei1shk7k9akvlkyl7dj5xwsus2plue0c4mknm7gk7,Zai1110 | Suiswap#5295
2023/04/14 8:44:47 AM AST,nan,https://twitter.com/sandipermadi18/status/1646856711087747072?t=HV3BrPKzinj5S7NYcMFo_Q&s=19,sei1a92jsr5wv3av3t45da6lvw907tplmv64fesuvn,KataSandy#0828
2023/04/14 8:45:04 AM AST,nan,https://mobile.twitter.com/RizkyBa46295428,sei129hlht605fcy9v9t6m39pjvh985l5zqkxvvc5f,Nero99#3534
2023/04/14 8:45:31 AM AST,nan,https://twitter.com/CuanKu01/status/1646857163514736640?s=20,sei18ps4njk3z46k5jq78pcv6w2jhh2l4lr338pw3q,CuanKu01#2200
2023/04/14 8:46:06 AM AST,nan,https://twitter.com/putra_garut/status/1646856972715843584,sei1ehffm2k99lexu0u4jz8lu9gdy2plkntye9008n,r4ngg4rut#7529
2023/04/14 8:47:19 AM AST,nan,https://twitter.com/beanjaii,sei165m5sk3qvlenwaffnm507tf5nn9v6cug8ygcyq,beanjai#9536
2023/04/14 8:49:19 AM AST,nan,https://twitter.com/juicymose,sei149ynvw0azz66pce8mfvn37tflywe3ewwk8jatz,nan
2023/04/14 8:49:25 AM AST,nan,https://twitter.com/Mamad98106875/status/1646857934570397697?t=qNuVdgUkyOJTyS6mOaRi0Q&s=19,sei1l605qd2szcdc36gynkrxlnmaxfyv845n7n79za,airbond.bnb | Bay Swap#8614
2023/04/14 8:50:16 AM AST,nan,https://twitter.com/shaperranal275/status/1646858226229735426?t=-FC5a32XP1XCWmv6Qxr1EQ&s=19,sei178vjwu3je2tfrvu58fdsnaq2kl35lekdvg5m9l,nan
2023/04/14 8:50:47 AM AST,nan,https://twitter.com/Itongs5/status/1646857729515089922?t=UBXDsiG1lacitJ382-RdKg&s=35,sei184u36hjssayyp6wdu8shl9te90sj7fzu3esafj,Tonks75#7648
2023/04/14 8:51:59 AM AST,nan,Node_Hunter,sei1d6wlvkk8dm7s6v59jqtn2hu5z9lsz42l4cz2qk,ALFONOVA#1970
2023/04/14 8:53:21 AM AST,nan,https://twitter.com/lbing90879852/status/1646859018319671296?s=20,sei1enjlgggd8ydg6n5dyf7ucjr9wtd55t6vxkq4p6,Caesar.At#7260
2023/04/14 8:53:57 AM AST,nan,@bluechipsnypa,sei16lrzjej2h2lt9z0paedgrw35wra606mf97ffal,EL Mago#0110
2023/04/14 8:54:09 AM AST,nan,https://twitter.com/cupangadu00/status/1646859293248098305?s=20,sei17vr38m6uuypt0k7kv0v83t2a47zwp02eqmtljm,cupangadu00#8064
2023/04/14 8:54:27 AM AST,nan,https://twitter.com/Mr_devN/status/1646859300881694720?s=20,sei1f3lugc9r0zyvmf79xywgs0cyccffdzkm9p46y6,dzuhurr#7778
2023/04/14 8:55:19 AM AST,nan,https://twitter.com/hendrajiraiya/status/1646859491890327554,sei167wjygv3yaknxkp4fcldgqltvz3e7xwzpa38y3,allnewhere#6201
