Timestamp,Username,Your Twitter,Your Sei wallet address,Your Discord Username (optional)
2023/04/12 7:41:58 PM AST,nan,https://twitter.com/azmimohddarus,sei1gan83h8fujtu75839kn7kayqfxz0qq3wqgdjku,zilly934#5872
2023/04/12 7:42:10 PM AST,nan,https://twitter.com/guna6111,sei1rp4dk7hf3n3mhm85326cc0k6rd3qv8mwlzkrfe,slyer689#3197
2023/04/12 7:42:28 PM AST,nan,https://twitter.com/fitrinurasiah5,sei1gsfxa7xjney7tkshw46sd7yhnl56nxq99ghjhm,nahzrax33#1614
2023/04/12 7:48:52 PM AST,nan,@Karolin02878637,sei1n2usnhajhy0sdcf3660rss86agptxuvpju9jcl,[EU22] Vadien#3827
2023/04/12 7:49:01 PM AST,nan,https://twitter.com/Heyoboiii/status/1646299355895267330?s=20,sei1nd3y9dpguwcdffe7t06pyqggkzc0l7hwhq9fu6,Asserick0#5030
2023/04/12 7:50:39 PM AST,nan,https://twitter.com/ChrisEmmanuelK1/status/1646299590109306881?s=20,sei1ul80shhumusvwun3zftd8e0sps6qn8esxrh9s6,Hemmy#7142
2023/04/12 7:51:16 PM AST,nan,https://twitter.com/MartinovValeriy/status/1646299711400189953,sei1zqe94j9jj6467jtlmfq28xc298h4ynttnpw6d0,ha#7130
2023/04/12 7:56:13 PM AST,nan,https://twitter.com/wufC5CEjaxOq50u,sei16edseqs8w02rrxfvsr0c7ac0l33xzgm93jut64,Entonee#7335
2023/04/12 7:58:55 PM AST,nan,https://twitter.com/stv500/status/1646301774280638465,sei1m9jc7ezrvyxmp4hr68jxhy5srtysmess57grg5,nan
2023/04/12 7:59:51 PM AST,nan,https://twitter.com/Su30sam/status/1646301492515577856,sei1pcqrxwee5xxvpn0sfk90te6942722vxfjhquuy,nan
2023/04/12 8:00:03 PM AST,nan,https://twitter.com/ThisIsInpiniteu,sei1wueazfgrzjznz0amfu4vxmjmxtxzsjgpgzq3nh,budi77aliawan#2783
2023/04/12 8:00:19 PM AST,nan,@OtokitiL,sei1ng7mph38hae4epa34860cj9psezzsrvvhnenvg,Lisa01#4031
2023/04/12 8:00:22 PM AST,nan,https://twitter.com/abdurrzzaque244,sei1mqxuysk34ka7t690gv6fgweeey59a2f6t5fsq6,pendaki7#4510
2023/04/12 8:00:36 PM AST,nan,https://twitter.com/ouou_ououyyy,sei1e8rx0urxfnal45227kd9564tl7cntru77fxter,kinomo09#9316
2023/04/12 8:01:21 PM AST,nan,https://twitter.com/Frankvvalker/status/1646302443880214530,sei1dn5lg820up6q5etudpcgyj735dxy9kr7lf6j0j,nan
2023/04/12 8:04:12 PM AST,nan,https://twitter.com/KohenEric,sei13vnndpwkjmfneypat32jrv0mk3rzcx6g4uqkct,dharma#8447
2023/04/12 8:04:57 PM AST,nan,https://twitter.com/NEC1417/status/1646303175601803274?t=V5HfctdLMyXltTZXmUEJIA&s=19,sei1jetjcgf3l0qtvyyaszeh9wzp49w949n52p6gs9,emmmmy#2087
2023/04/12 8:05:44 PM AST,nan,@Blessin98663192,sei1tun473uev8qed38rgcydncgsj690996vhznw3h,BossLady#2492
2023/04/12 8:07:32 PM AST,nan,https://twitter.com/huthoob/status/1646303880383467520?s=20,sei196gquk4d0muqzqnna2f6m5wehctfc6vkpsgrq0,Luv#3494
2023/04/12 8:08:21 PM AST,nan,https://twitter.com/0x_xas,sei176z535fm7vpwq3sysc6kkx75xfhnhps5naz6ha,rin306834#9107
2023/04/12 8:09:15 PM AST,nan,https://twitter.com/Petra05025/status/1646304440331403265?s=20,sei1mm6rz8s0zmyvlpfw3lney3dczj6l4dq43kh98z,PETRA1#5025
2023/04/12 8:12:07 PM AST,nan,https://twitter.com/NftJumpman/status/1646305062992629761?s=20,sei10treqtgl6kgtny86dlt8fg6q2l7v9grte3mna5,domenie#0986
2023/04/12 8:12:35 PM AST,nan,"rudeebboy.bnb | Arbswap 🦌 (💙,🧡) 🛸 🚢 @RudeBoy_888",sei15uupl6d6zhy4nykjf0p28w6y4vxds03ld42hyu,RudeBoy#7945
2023/04/12 8:15:20 PM AST,nan,https://twitter.com/Selmamany/status/1646305904076177409,sei14t3j734ufc4z848ypcqv8x69e3kvttaycx75g3,nan
